Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
10	:	1591562969.910	    76.511	0	0	0	0	python gillespie.py -m sir -t 1000 -n 9
2	:	1591562969.896	    76.526	0	0	0	0	python gillespie.py -m sir -t 1000 -n 1
40	:	1591562969.965	    76.457	0	0	0	0	python gillespie.py -m sir -t 1000 -n 39
14	:	1591562969.917	    76.862	0	0	0	0	python gillespie.py -m sir -t 1000 -n 13
29	:	1591562969.945	    77.297	0	0	0	0	python gillespie.py -m sir -t 1000 -n 28
15	:	1591562969.919	    77.517	0	0	0	0	python gillespie.py -m sir -t 1000 -n 14
21	:	1591562969.930	    77.717	0	0	0	0	python gillespie.py -m sir -t 1000 -n 20
1	:	1591562969.895	    77.874	0	0	0	0	python gillespie.py -m sir -t 1000 -n 0
27	:	1591562969.941	    77.832	0	0	0	0	python gillespie.py -m sir -t 1000 -n 26
36	:	1591562969.958	    77.863	0	0	0	0	python gillespie.py -m sir -t 1000 -n 35
7	:	1591562969.905	    78.822	0	0	0	0	python gillespie.py -m sir -t 1000 -n 6
17	:	1591562969.923	    84.092	0	0	0	0	python gillespie.py -m sir -t 1000 -n 16
38	:	1591562969.962	    87.919	0	0	0	0	python gillespie.py -m sir -t 1000 -n 37
28	:	1591562969.943	    90.352	0	0	0	0	python gillespie.py -m sir -t 1000 -n 27
6	:	1591562969.903	    92.148	0	0	0	0	python gillespie.py -m sir -t 1000 -n 5
26	:	1591562969.940	    92.682	0	0	0	0	python gillespie.py -m sir -t 1000 -n 25
23	:	1591562969.934	    93.368	0	0	0	0	python gillespie.py -m sir -t 1000 -n 22
22	:	1591562969.932	    93.652	0	0	0	0	python gillespie.py -m sir -t 1000 -n 21
18	:	1591562969.924	    93.832	0	0	0	0	python gillespie.py -m sir -t 1000 -n 17
4	:	1591562969.900	    94.381	0	0	0	0	python gillespie.py -m sir -t 1000 -n 3
3	:	1591562969.898	    94.394	0	0	0	0	python gillespie.py -m sir -t 1000 -n 2
16	:	1591562969.921	    94.499	0	0	0	0	python gillespie.py -m sir -t 1000 -n 15
20	:	1591562969.928	    94.513	0	0	0	0	python gillespie.py -m sir -t 1000 -n 19
31	:	1591562969.948	    94.519	0	0	0	0	python gillespie.py -m sir -t 1000 -n 30
34	:	1591562969.954	    94.638	0	0	0	0	python gillespie.py -m sir -t 1000 -n 33
25	:	1591562969.938	    94.778	0	0	0	0	python gillespie.py -m sir -t 1000 -n 24
30	:	1591562969.946	    94.875	0	0	0	0	python gillespie.py -m sir -t 1000 -n 29
24	:	1591562969.936	    95.206	0	0	0	0	python gillespie.py -m sir -t 1000 -n 23
9	:	1591562969.909	    95.302	0	0	0	0	python gillespie.py -m sir -t 1000 -n 8
19	:	1591562969.926	    95.288	0	0	0	0	python gillespie.py -m sir -t 1000 -n 18
12	:	1591562969.914	    95.381	0	0	0	0	python gillespie.py -m sir -t 1000 -n 11
37	:	1591562969.960	    95.401	0	0	0	0	python gillespie.py -m sir -t 1000 -n 36
35	:	1591562969.956	    95.413	0	0	0	0	python gillespie.py -m sir -t 1000 -n 34
33	:	1591562969.952	    95.659	0	0	0	0	python gillespie.py -m sir -t 1000 -n 32
11	:	1591562969.912	    95.728	0	0	0	0	python gillespie.py -m sir -t 1000 -n 10
32	:	1591562969.950	    95.782	0	0	0	0	python gillespie.py -m sir -t 1000 -n 31
39	:	1591562969.963	    96.122	0	0	0	0	python gillespie.py -m sir -t 1000 -n 38
13	:	1591562969.916	    96.537	0	0	0	0	python gillespie.py -m sir -t 1000 -n 12
8	:	1591562969.907	    96.961	0	0	0	0	python gillespie.py -m sir -t 1000 -n 7
5	:	1591562969.902	    97.046	0	0	0	0	python gillespie.py -m sir -t 1000 -n 4
